Id,Date,CalculatedDailySteps
4558609924,2016-03-28,7660
4558609924,2016-03-29,7607
4558609924,2016-03-30,5535
4558609924,2016-03-31,6476
4558609924,2016-04-01,5336
4558609924,2016-04-02,3183
4558609924,2016-04-03,6176
4558609924,2016-04-04,8205
4558609924,2016-04-05,6799
4558609924,2016-04-06,5668
4558609924,2016-04-07,7998
4558609924,2016-04-08,4195
4558609924,2016-04-09,5512
4558609924,2016-04-10,6248
4558609924,2016-04-11,8828
4558609924,2016-04-12,1036
4702921684,2016-03-12,13778
4702921684,2016-03-13,11042
4702921684,2016-03-14,6934
4702921684,2016-03-15,8430
4702921684,2016-03-16,6176
4702921684,2016-03-17,7379
4702921684,2016-03-18,6411
4702921684,2016-03-19,9
4702921684,2016-03-20,0
4702921684,2016-03-21,3479
4702921684,2016-03-22,9658
4702921684,2016-03-23,6579
4702921684,2016-03-24,7835
4702921684,2016-03-25,6085
4702921684,2016-03-26,15072
4702921684,2016-03-27,12619
4702921684,2016-03-28,7449
4702921684,2016-03-29,6506
4702921684,2016-03-30,7583
4702921684,2016-03-31,6963
4702921684,2016-04-01,7165
4702921684,2016-04-02,10328
4702921684,2016-04-03,12103
4702921684,2016-04-04,7810
4702921684,2016-04-05,6670
4702921684,2016-04-06,7605
4702921684,2016-04-07,6585
4702921684,2016-04-08,8104
4702921684,2016-04-09,14002
4702921684,2016-04-10,11135
4702921684,2016-04-11,6457
5553957443,2016-03-12,1439
5553957443,2016-03-13,5059
5553957443,2016-03-14,13625
5553957443,2016-03-15,9634
5553957443,2016-03-16,11498
5553957443,2016-03-17,6261
5553957443,2016-03-18,3689
5553957443,2016-03-19,0
5553957443,2016-03-20,0
5553957443,2016-03-21,3246
5553957443,2016-03-22,857
5553957443,2016-03-23,3048
5553957443,2016-03-24,7092
5553957443,2016-03-25,3621
5553957443,2016-03-26,6598
5553957443,2016-03-27,2312
5553957443,2016-03-28,6642
5553957443,2016-03-29,13011
5553957443,2016-03-30,10108
5553957443,2016-03-31,11583
5553957443,2016-04-01,12409
5553957443,2016-04-02,2927
5553957443,2016-04-03,1515
5553957443,2016-04-04,8921
5553957443,2016-04-05,11306
5553957443,2016-04-06,12252
5553957443,2016-04-07,15444
5553957443,2016-04-08,9938
5553957443,2016-04-09,4593
5553957443,2016-04-10,5594
5553957443,2016-04-11,11906
5553957443,2016-04-12,2280
5577150313,2016-03-12,19450
5577150313,2016-03-13,14845
5577150313,2016-03-14,12221
5577150313,2016-03-15,11185
5577150313,2016-03-16,12476
5577150313,2016-03-17,11470
5577150313,2016-03-18,10598
5577150313,2016-03-19,15552
5577150313,2016-03-20,5631
5577150313,2016-03-21,2030
5577150313,2016-03-22,3180
5577150313,2016-03-23,8752
5577150313,2016-03-24,8130
5577150313,2016-03-25,7752
5577150313,2016-03-26,10742
5577150313,2016-03-27,6727
5577150313,2016-03-28,9264
5577150313,2016-03-29,8200
5577150313,2016-03-30,6862
5577150313,2016-03-31,9563
5577150313,2016-04-01,10461
5577150313,2016-04-02,14873
5577150313,2016-04-03,9917
5577150313,2016-04-04,7401
5577150313,2016-04-05,8964
5577150313,2016-04-06,11080
5577150313,2016-04-07,4499
5577150313,2016-04-08,4363
5577150313,2016-04-09,10494
5577150313,2016-04-10,9776
